Date,Apple
5/29/2018,46.98
5/25/2018,47.15
5/24/2018,47.04
5/23/2018,47.09
5/22/2018,46.79
5/21/2018,46.91
5/18/2018,46.58
5/17/2018,46.75
5/16/2018,47.05
5/15/2018,46.61
5/14/2018,47.04
5/11/2018,47.15
